PC_ID,DIVISION,DEPARTMENT,RETAILER_NAME,RETAILER_SEGMENT,CATEGORY,STYLE,PRODUCT_DESCRIPTION
31780820,Womens,Apparel,Retailer 1,Innovator,Jeans,Wide leg (incl. baggy),baggy wide leg jeans low rise waist washed grey off white slim through hip minimal trim goes with oversized blazer fabric cotton polyester blend classic pocket styling
31728878,Womens,Apparel,Retailer 2,Mass,Jeans,Slim leg,streamlined leg jeans high rise waist light wash indigo day to night zip fly finished with classic pockets fabric cotton stretch fibre polyester blend classic pocket styling close to the body fit recycled fibre content
31235643,Womens,Apparel,Retailer 3,Mass,Jeans,Slim leg,streamlined leg jeans low rise waist washed grey sand minimal trim contrast stitch look ideal for casual days fabric cotton stretch fibre blend classic pocket styling close to the body fit
31481680,Womens,Apparel,Retailer 4,Innovator,Jeans,Straight leg,straight leg jeans high rise waist washed grey washed black clean finish comfortable drape wear with a tucked tee fabric cotton stretch fibre blend classic pocket styling
31708476,Womens,Apparel,Retailer 5,Conservative,Jeans,Skinny leg,skinny leg jeans mid rise waist dark wash light blue seam detail front pocket shaping pair with trainers or boots fabric cotton stretch fibre polyester blend classic pocket styling close to the body fit organic cotton touch
31992584,Womens,Apparel,Retailer 6,Mass,Jeans,Relaxed/loose,loose fit jeans high rise waist light wash black frayed edge structured denim feel made for all day wear fabric mixed fibres denim classic pocket styling relaxed through seat and thigh
31054629,Womens,Apparel,Retailer 7,Innovator,Jeans,Wide leg (incl. baggy),baggy wide leg jeans high rise waist dark wash washed black stretch comfort comfortable drape designed for comfort fabric cotton denim
31511007,Womens,Apparel,Retailer 8,Conservative,Jeans,Carrot / tapered,tapered ankle jeans low rise waist dark wash cream tapered from knee work to weekend softens with wear fabric cotton stretch fibre blend classic pocket styling tapered towards ankle
31512811,Womens,Apparel,Retailer 9,Conservative,Jeans,Slim leg,streamlined leg jeans low rise waist ink wash cream subtle fading comfortable drape holds its shape fabric cotton stretch fibre blend classic pocket styling close to the body fit materials focus
31146296,Womens,Apparel,Retailer 10,Innovator,Jeans,Wide leg (incl. baggy),full leg jeans low rise waist black wash blue soft hand feel comfortable drape style with a crisp shirt fabric cotton stretch fibre viscose blend classic pocket styling relaxed through seat and thigh
31541979,Womens,Apparel,Retailer 11,Mass,Jeans,Straight leg,straight leg jeans low rise waist light wash cream button fastening casual staple layer with knitwear fabric cotton denim blend classic pocket styling
31578540,Womens,Apparel,Retailer 12,Innovator,Jeans,Straight leg,easy straight jeans low rise waist inlaid blue blue casual staple zip fly wear with a tucked tee fabric cotton denim classic pocket styling
31257711,Womens,Apparel,Retailer 13,Conservative,Jeans,Straight leg,straight jeans high rise waist black wash sand easy movement front pocket shaping made for all day wear fabric cotton denim classic pocket styling wash process
31333675,Womens,Apparel,Retailer 14,Innovator,Jeans,Wide leg (incl. baggy),full leg jeans high rise waist stone wash dark blue easy movement day to night easy to style fabric cotton polyester blend classic pocket styling relaxed through seat and thigh
31574813,Womens,Apparel,Retailer 12,Innovator,Jeans,Wide leg (incl. baggy),baggy wide leg jeans mid rise waist mid wash sand minimal trim casual staple made for all day wear fabric cotton denim classic pocket styling
31715366,Womens,Apparel,Retailer 14,Innovator,Jeans,Bootcut,bootcut leg jeans low rise waist black wash dark blue structured denim feel shaped waist made for all day wear fabric cotton stretch fibre blend classic pocket styling balanced hem shape
31386836,Womens,Apparel,Retailer 5,Conservative,Jeans,Wide leg (incl. baggy),baggy wide leg jeans high rise waist black wash blue stretch comfort structured denim feel style with a crisp shirt fabric cotton stretch fibre blend
31754320,Womens,Apparel,Retailer 15,Mass,Jeans,Skinny leg,skinny fit jeans low rise waist washed grey blue work to weekend raw hem layer with knitwear fabric cotton stretch fibre polyester blend classic pocket styling close to the body fit cotton touch
31827981,Womens,Apparel,Retailer 9,Conservative,Jeans,Skinny leg,close fit leg jeans mid rise waist dark wash washed black raw hem frayed edge ideal for casual days fabric cotton stretch fibre polyester blend classic pocket styling close to the body fit cotton touch
31441540,Womens,Apparel,Retailer 16,Mass,Jeans,Slim leg,slim fit jeans high rise waist washed grey dark blue raw hem structured denim feel designed for comfort fabric cotton stretch fibre polyester blend classic pocket styling close to the body fit organic cotton touch
31128440,Womens,Apparel,Retailer 17,Mass,Jeans,Other,jeans high rise waist light wash soft white casual staple panelled leg versatile wardrobe piece fabric cotton stretch fibre blend classic pocket styling balanced hem shape
31473874,Womens,Apparel,Retailer 18,Innovator,Jeans,Wide leg (incl. baggy),baggy wide leg jeans mid rise waist light wash charcoal slim through hip easy movement designed for comfort fabric cotton stretch fibre blend classic pocket styling relaxed through seat and thigh
31616530,Womens,Apparel,Retailer 12,Innovator,Jeans,Relaxed/loose,slouchy fit jeans mid rise waist faded blue ecru slim through hip subtle fading versatile wardrobe piece fabric cotton denim
31983212,Womens,Apparel,Retailer 6,Mass,Jeans,,loose fit jeans mid rise waist stone wash dark blue panelled leg seam detail easy to style fabric mixed fibres denim classic pocket styling relaxed through seat and thigh sustainable materials focus
31355912,Womens,Apparel,Retailer 6,Mass,Jeans,Slim leg,slim fit jeans mid rise waist mid wash light blue easy movement clean finish wear with a tucked tee fabric denim denim classic pocket styling close to the body fit sustainable wash process
31635610,Womens,Apparel,Retailer 19,Innovator,Jeans,Slim leg,streamlined leg jeans high rise waist inlaid blue mid blue contrast stitch look structured denim feel style with a crisp shirt fabric cotton polyester viscose blend classic pocket styling close to the body fit cotton touch
31331711,Womens,Apparel,Retailer 20,Innovator,Jeans,Flare/bell bottom,bell leg jeans mid rise waist clean rinse washed black day to night zip fly layer with knitwear fabric mixed fibres denim classic pocket styling balanced hem shape
31555041,Womens,Apparel,Retailer 21,Mass,Jeans,Straight leg,easy straight jeans mid rise waist dark wash cream zip fly zip fly versatile wardrobe piece fabric cotton stretch fibre polyester blend classic pocket styling
31707372,Womens,Apparel,Retailer 11,Mass,Jeans,Wide leg (incl. baggy),baggy wide leg jeans low rise waist faded blue washed black panelled leg wide through leg holds its shape fabric denim denim classic pocket styling relaxed through seat and thigh sustainable wash process
31936409,Womens,Apparel,Retailer 17,Mass,Jeans,Wide leg (incl. baggy),wide leg jeans mid rise waist inlaid blue soft white front pocket shaping front pocket shaping layer with knitwear fabric cotton stretch fibre micromodal blend recycled fibre content
31801810,Womens,Apparel,Retailer 12,Innovator,Jeans,Wide leg (incl. baggy),wide leg jeans high rise waist ink wash indigo easy movement work to weekend goes with oversized blazer fabric cotton denim classic pocket styling relaxed through seat and thigh
31441276,Womens,Apparel,Retailer 1,Innovator,Jeans,Bootcut,bootcut leg jeans mid rise waist inlaid blue ecru minimal trim frayed edge goes with oversized blazer fabric denim denim classic pocket styling balanced hem shape
31377330,Womens,Apparel,Retailer 11,Mass,Jeans,Wide leg (incl. baggy),baggy wide leg jeans mid rise waist black wash grey zip fly contrast stitch look finished with classic pockets fabric cotton denim stretch fibre blend classic pocket styling relaxed through seat and thigh
31782276,Womens,Apparel,Retailer 22,Innovator,Jeans,Straight leg,straight leg jeans high rise waist faded blue cream easy movement back pocket shaping wear with a tucked tee fabric denim denim classic pocket styling
31156054,Womens,Apparel,Retailer 11,Mass,Jeans,,mid rise waist light wash sand turned up cuff work to weekend designed for comfort fabric cotton polyester blend classic pocket styling
31005867,Womens,Apparel,Retailer 2,Mass,Jeans,Skinny leg,skinny fit jeans low rise waist mid wash mid blue belt loops minimal trim goes with oversized blazer fabric cotton stretch fibre polyester blend classic pocket styling close to the body fit
31522632,Womens,Apparel,Retailer 23,Mass,Jeans,Straight leg,straight leg jeans low rise waist faded blue ecru clean finish tapered from knee layer with knitwear fabric denim viscose blend classic pocket styling
