WEEK_START_DATE,PC_ID,ORIGINAL_PRICE,PRODUCT_INSTOCK,PRODUCT_OUT_OF_STOCK,PRODUCT_NEW_IN,PRODUCT_MARKDOWN,WEEKLY_AVERAGE_PRICE,WEEKLY_AVERAGE_MARKDOWN_PRICE,AVG_MARKDOWN_DIFFERENCE
20251130,31780820,99,1,0,0,0,99,,
20251130,31728878,42,0,1,0,1,21,21,21
20251130,31235643,89,0,1,0,1,80.1,80.1,8.9
20251130,31481680,208,0,1,0,1,101,101000000,107000000
20251130,31708476,40,1,0,0,1,31.55714286,31.55714286,8.442857143
20251130,31992584,48,0,1,0,1,43.55,43.55,4.45
20251130,31054629,44,0,1,0,1,44,30,14
20251130,31511007,35,0,1,0,1,32,32,3
20251130,31512811,209.99,0,1,0,1,168,168,41.99
20251130,31146296,288,1,0,0,0,288,,
20251130,31541979,297,1,0,0,1,178,178,119
20251130,31578540,95,1,0,0,0,95,,
20251130,31257711,930,0,1,0,0,1008,,
20251130,31333675,949,1,0,0,0,949,,
20251130,31574813,58,0,1,0,1,26.68,26.68,31.32
20251130,31715366,285,0,1,0,1,106.87,106.87,178.13
20251130,31386836,79.99,1,0,0,1,78.84428571,75.98,4.01
20251130,31754320,48,1,0,0,0,49,,
20251130,31827981,39.99,0,1,0,0,39.99,,
20251130,31441540,69.5,0,1,0,1,24.98,24.98,44.52
20251130,31128440,298,1,0,0,0,298,,
20251130,31473874,1060,0,1,0,1,530,530,530
20251130,31616530,148,0,1,0,1,89,89,59
20251130,31983212,16.5,0,1,0,1,13,13,3.5
20251130,31355912,15,0,1,0,1,10,10,5
20251130,31635610,34,0,1,0,1,28,28,6
20251130,31331711,158,0,1,0,0,158,,
20251130,31555041,49.5,0,1,0,1,27.22,27.22,22.28
20251130,31707372,455,1,0,0,0,455,,
20251130,31936409,248,1,0,0,0,248,,
20251130,31801810,145,1,0,0,1,98.5,90.75,54.25
20251130,31441276,395,1,0,0,0,395,,
20251130,31377330,411,1,0,0,1,355,355,56
20251130,31782276,395,1,0,0,0,505,,
20251130,31156054,247,1,0,0,1,205,205,42
20251130,31005867,42,0,1,0,0,45,,
20251130,31522632,160,1,0,0,0,160,,
20251130,31752683,20.8,1,0,0,1,21.54285714,18.2,2.6
20251130,31565947,67,0,1,0,1,30.5,30.5,36.5
20251130,31201992,200,0,1,0,0,200,,
20251130,31736874,298,0,1,0,1,281,281,17
20251130,31423281,17,1,0,1,0,17,,
20251130,31168316,54.99,0,1,0,0,54.99,,
20251130,31858334,52,0,1,0,0,52,,
20251130,31424939,65,1,0,0,0,65,,
20251130,31811802,20,0,1,0,1,20,18.75,1.25
20251130,31330946,330,0,1,0,1,264,264,66
20251130,31312599,290,1,0,0,0,340,,
20251130,31178693,560,1,0,0,1,384,384,176
20251130,31638515,46,0,1,0,1,17.5,17.5,28.5
20251130,31187285,36,0,1,0,0,56,,
20251130,31692007,29,0,1,0,1,23.40714286,22.475,6.525
20251130,31580683,63,0,1,0,0,63,,
20251130,31595745,238,0,1,0,1,172,172,66
20251130,31691244,58,1,0,0,1,30,30,28
